	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0000008	131.9997	136	220.9997	281.0002	116	172.9995686	229.0003	343.000258	302.0003	252.9998046	135.9999774	257.9998
FBgn0000014	136.00004	79.999981	119.9999487	227.999733	48	127.0001	103.000033	328.9997778	119.0001	169.0000088	49	201.000369
FBgn0000015	14.00001063	12.9999963	32	14	2	7	9	14.99997	11	27.00001	1	9.00001
FBgn0000017	239.2124333	189.9788312	302.5323517	416.6241921	66.856926	187.2972053	343.6695004	414.1504514	354.50655	290.744842	156.1421305	249.76228
FBgn0000018	154	114	182	346	117	173	240	242	221	402	225	231
FBgn0000022	0	0	0	0	0	0	0	0	0	1	1	0
FBgn0000024	20.00002	18.00001	20.00003	40	5	26.00004	13	47.99995	21.99997	29.00008469	19	39.99994
FBgn0000028	1	2	1	4	0	1	3	1	0	2	2	1
FBgn0000032	398	278.0001205	646	893.0000015	253.000472	422	944	539	635.0000196	883.9997	586.9998	584
FBgn0000036	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0000037	9.999998404	6.000003373	8.999996296	14.99996796	3.000001422	9.999999125	8.000004177	9.000000956	9.00000129	12.00003307	2.999999684	11.99995049
FBgn0000038	0	0	3	6	0	0	2	3	4	3	2	0
FBgn0000039	0	0	0	1	0	0	0	0	0	1	1	0
FBgn0000042	8766.537	4776.258	11375.388	12320.69265	4805.391	3485.884	15936.7471	10863.561	10055.86133	10055.169	6795.152	8774.575
FBgn0000043	695	420	1279	1671	374	383	2040	1074	1353	1381	1097	733
FBgn0000044	11848.8	10517.4	12418.9	22743.7	8292.4	10353.9	10145.5	14211.6	7617.79	16972.4	8432.7	10097
FBgn0000045	206.0255	149.9997	199.0354	398.095	221.0381	158.9872	110.0077	153.0657	173.054	350.9995	254.9997	209.981
FBgn0000046	2442.5643	2157.3242	2506.6168	4591.469	1752.126	2147.161	1886.674	2805.689	1812.267	3477.341	1724.1104	2202.429
FBgn0000047	4.09725	1.01796	1.01815	6.07705	3.04976	1.02765	4.06225	3.07045	2.03192	5.08068	2.0332	2.05389
FBgn0000052	2630.003	2629.9985	3561.002	7243.001	2792.002	3317	4650	5234.005	3681.004	7143.01	3768.999	5675
FBgn0000053	3833.0036	4961.9981	5051.996	9609.998	3854.0039	5210.9998	5414.003	7688.996	5229.995	8966.997	3948.002	4800.0043
FBgn0000055	111810.45	105654.51	123476.89	274553.43	141817.35	146324.34	141108.05	173343.75	151328.26	256503.03	123490.37	216454.46
FBgn0000056	2434.45	2513.52	2892.29	6033.73	2339.76004	3853.94	3517.45	3655.35	3422.76	7421.03	2915.27	5332.26
FBgn0000057	521	501	715	1338	580	637	790	794	778	1246	696	899
FBgn0000061	3	1	6	3	2	0	3	2	1	2	2	2
FBgn0000063	21.00000137	11.00000162	51	81.00000374	12.00000104	10.00000135	121	28	71	38.00000089	35.00000269	30
FBgn0000064	12040.001	10682.0003	13697.997	21720.975	9559.9971	13050.0023	11513.993	21585.9811	17165.953	18073.044	8701.9993	16098.00256
FBgn0000071	0	0	0	5.00000442	0	0	0.999999689	6.999999758	1.000000478	0.999999503	1.000000345	0
FBgn0000075	7	7	83.99999	43	0	1	186.00039	4	9	2	0	2
FBgn0000077	162.9996	142	196.00021	434.9999	167.9996	235	286.9998	250.9996	255	440.9995	248.0005	291
FBgn0000078	1179.36	424.553	458.745	913.792	639.608	355.235	319.998	662.98	749.487	904.627	752.605	396.844
FBgn0000079	606.6399	81.447471	65.25510415	111.208	74.3918	58.7648	33.002	137.01973	132.513	325.373	315.3950006	46.1563
FBgn0000083	1757.8246	1461.426001	1818.846377	3610.6959	1591.471	1665.44894	2224.985086	2733.24353	1906.918105	3260.6903	1709.86999	2451.6189
FBgn0000084	577	662	828	1283	843	514	897	1200	977	1145	774	914
FBgn0000092	7	7	3	6	2	6	8	7	7	8	6	8
FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	161.8205098	99.94262359	229.14	392.5901667	94.72001974	181.3591	308.77804	520.1492921	235.82167	277.9497004	129.9815	303.8352
FBgn0000100	16259.04	19599.01	28181.98	53002	28155.01	21019.04	36788	31512	31635.96	60067	38382	36022
FBgn0000108	6	5	17.99999	23.00002	6	1	6	30.00004	8	15	9.000002	8
FBgn0000109	405.0009	372.9999	451.0007	1037.0004	436.99955	526.9995	526.0006	473.9996	434.0005	1050	496.0007	634.9998
FBgn0000114	401.00007	212.00021	1159.0002	1087.99988	110.9999787	294.9997	1849.99919	1524.00024	1130.99974	856.99971	681.9993	625.00101
FBgn0000115	347	335	398	718	348	355	592	544	509	801	462	636
FBgn0000116	3676.000686	2911.003475	3457.0067	7034.9995	2982.9996	3082.0002	3727.00104	4402.0013	3196.995171	5163.9995	2986.002203	4100.0027
FBgn0000117	1526.998901	1273.9998	2379.996208	4351.997767	1427.001743	1519.000046	3560.000002	2972.002194	2532.000511	3639.994776	2138.0015	2704.99646
FBgn0000119	292	265	341	748	207	425	391	534	413	669	236	491
FBgn0000120	3	6	2	160.99965	83.00003	29.99995	8	16	26	41.00001	41.00001	2
FBgn0000121	6	10	1	300	146	40	17	27	35	79	76	5
FBgn0000137	2	2	1	5	4	2	5	6	1	8	2	5
FBgn0000139	400.0005	431.9999	520	1287.999	453.9997	666.9995	701	689	648.0003	1378	731.001	907.001
FBgn0000140	174	25	293	483	41	35	575	123	317	173	153	151
FBgn0000146	167	145.9996119	555	704	100	112	944	349	517.9998	673.0003	645.0004	222.0000005
FBgn0000147	45	13	101	146	24	22	205	42	112	89	83	36
FBgn0000150	4636.003	5769	9026.006	13090.991	8954.999	4345.001	9071.004	9176.996	9647.006	12380.002	8938.003	8964.002
FBgn0000152	133.411	119.335	150.368	310.717	100.556	138.182	229.801	145.719	154.379	270.266	173.118	170.421
FBgn0000153	62.9999	62.99996	72.00000121	139.0002	70	66.0001	67.9999	103	69	93.9999	56.9999	89
FBgn0000157	9	6	11	16	5	9	7	26	15.999955	22.99998	8	7.000001
FBgn0000158	13	10	46	79	10	4	94	28	41	43	41	17
FBgn0000163	275.9997501	168.00048	279.9998802	434.8415	125.5755	201.0001303	301	493.0000012	318.9998501	293.60899	121.0004781	310.0002003
FBgn0000166	130.9995598	15.00002804	176.9997558	184.0003301	30	15.99997117	320.0005	76	223.0002477	110.000039	96.00003909	61.00007151
FBgn0000173	536.9998892	362.0005	631.999305	1056.999939	272.0000051	547.0003345	767.9995218	963.0002	720.0002043	844.0005	463.0003	853.9998001
FBgn0000179	0	0	3	3	0	0	1.0000003	5.000003	1	1	1	3.999999
FBgn0000180	13	15	19	39.0232	9	20	23	27	24	44	18	25
FBgn0000181	4313	4609	7314	12508	5438	5198	9878	8343	8348	12408	8028	8651
FBgn0000182	286.5	83.5	811.5	926.5	108.5623	70	1418	345	882.5	381	355.5	233.4995
FBgn0000183	560.9998	360.9992	833.9995	1334.0008	258.0005	511.0007	1152.9993	880.0006	897.9997	995.0003	612.0006	677.0001
FBgn0000206	1	1	0	13	3	2	1	5	2	7	4	1
FBgn0000212	535.9993887	444.0004262	593.9997842	1318.999788	396.9996868	497.0004147	936.9993351	994.00081	712.999504	1015.0009	562.9987412	935.9985694
FBgn0000216	0	0	0	0	0	0	0	2	0	0	0	0
FBgn0000221	64	51	76	108	58	50	102	70	101	132	89	88
FBgn0000227	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0000228	283.0002593	199.000391	447.0004977	627.9994411	142.0000054	319.9995495	609.0007963	600.99965	456.9995933	482.0000121	242.999555	411.0001957
FBgn0000229	274.99982	236.9998	260.9997	759.9994708	207.99987	369.99966	364.99968	414.0004	354	631.999955	293.0004	417.99986
FBgn0000233	0	0	2	2	1	0	0	0	1	2	0	0
FBgn0000239	1474	1356	1919.001	4281	1154.9998	1996.003	2778	2974	2329.001	3951	1778.005	2868.004
FBgn0000241	40.99416	46.6959	36.29013124	73.5928	32.3375	69.6814	26	30.80859	21.20867447	66.55800301	22.44670011	52.2768
FBgn0000244	636.9998	588.9996	644.0001	1603.9985	587.00022	745.9998	876.9996	1361.9984	839.9999	1414.99995	660.00006	1169.9955
FBgn0000246	77.0000464	38.00002042	149.9999369	217.0002959	11.99997039	28.00004903	235.9997772	152.9999878	160.0004165	98.00003297	87.00001577	59.00001753
FBgn0000247	456.44322	361.0005	524.1929	1054.159	322	494.817	704.5415	1032.661	634.8548	824.7397	363.4267	788.872
FBgn0000250	1118.9999	932.9999	1448.002176	3035.0041	939.9999155	1439.00023	2075.996445	1882.999515	1795.0047	2630.998	1363.00442	1754.004
FBgn0000251	85	66.8917	235.5354	290.435	41	60.8658	328.9282	217.844	230.5156	196.1729	145.6727	148.0156
FBgn0000253	1159.000901	567.9998	1412.004	2193.9986	389.9997576	914	1761.00446	3436.9983	1297.997407	2017.9985	1049.9996	1913.0024
FBgn0000256	272.00024	354.0001	430.9995	892.9997	393.0004246	461.0003	453.99962	635.9997088	562.0002	835.0004	474.00016	617.00035
FBgn0000257	165	196.0004	224.0001	385.9998	148	176.9996	292.0002	346.0002	285.0004	306.9998	167	302
FBgn0000259	592.0003252	349.0001695	706.000649	1259.999191	246.9998515	617.9996011	1082.9998	1309.99913	824.9997046	1207.00119	626.9995194	1002.00079
FBgn0000261	29548	30062	28132	78357	32473	37713	33706	46715	37512	66741	34073	47512
FBgn0000273	215	86	229.0004239	327	42	137.00021	287.9997	485	215.0003	234.9995921	123.999993	272.0005
FBgn0000274	3.999998	2.000004	6	3.000001	1.999999	1.0000001	11.000019	6.000004	4.999995	10	9	1.0000002
FBgn0000276	1	6.77205	6.69278	5	1	72.4932	1	0	1	4.69402	1	0
FBgn0000277	1	2.22795	3.30722	5	0	68.5068	1	4	1	2.30598	1	0
FBgn0000278	0	0	0	1	0	33	1	1	1	1	1	0
FBgn0000279	0	3	3	4	0	28	0	2	1	1	0	1
FBgn0000283	542	342.0004	803	1383.997	316.9997	583	1340.003	1221	982	1146	596	1020
FBgn0000286	440.9996	318.9999324	465.0000245	757.9998804	233.99976	502.0003	490.9998624	997.0004121	669.0000367	816.9996	391.0000445	679.5767
FBgn0000287	6	4	4	23	7	7	9	16	8	17	10	17.00001
FBgn0000289	442.9994261	322.9997576	816.00022	1181.000193	337.0000841	447.0000322	1250.9999	1204.999648	878.0002808	919.9993211	549.9994474	883.0008
FBgn0000299	6543	7396.001	10063	13530	6835.01	6269	8269	10576	7250	10422	4669.998	11301
FBgn0000303	1	0	3	4.60726	0	1.79699	3.75117	10.442629	8.86826	2.60972	0	6.999995
FBgn0000307	212.1085	104	329.5511	612.711796	144.0311	241.524	548.9422	567.1304	351.4281	441.5400497	168.713	367.9631428
FBgn0000308	1606.0012	1193.99967	2021.99819	2774.99754	853.00031	1292.9998	2236.0016	2275.99781	2080.9994	2309	1249.9989	1897.001
FBgn0000316	554	523	683	1448	485	587	1059	815	691	1414	746	944
FBgn0000317	510.0003	352.9998	623.9997807	1024.9991	251	588.0005093	686.99953	1091.999211	647.9999465	866.9995	358.0002081	866.0000077
FBgn0000318	589.9997186	554.0000001	795.0003	1328.001	634.9998	605.0000001	1030.000209	789.0003	842.9999	1474.9981	967.0000206	891.99935
FBgn0000319	4446.999469	3797.9944	6047.996986	10852.005	3303.003208	5415.00054	7819.999	9297.99473	6667.997	8590.00293	4159.9993	6965.997602
FBgn0000320	29	31	78	70	13	12	68	68	66	44	40	21.00004
FBgn0000326	390	417	491	1237	493	570	667	585	587	1366	732	726
FBgn0000330	233.9997	188.9997	285.0005	569.0005	231.9999	250.0005	487.9996	365.0005	346.9996	616	336.0004	456.0005
FBgn0000337	4	5	3	10	1	3	1	6	4	5	2	7
FBgn0000339	640	574.0001	725	1785.997	622.0006	813	976.0002	812	774.0002	1865.998	946.9994	1076.9996
FBgn0000346	22	20	77	78	17	15	108	41.000023	53.99999	71	59	27
FBgn0000351	47	17	106	173.0003	33	16	322	40	155	131	117	33
FBgn0000352	151	99	218.0000217	370	80	129	340.00031	231.99968	272	268.0004231	154.0000002	184.0002
FBgn0000355	73	60	892	283	35	6	188	6616	100	2091	2071	7
FBgn0000356	4	74	121	3	1	13	458	7	376	244	171	6
FBgn0000357	0	38	195	18	16	3	262	11	890	460	458	4
FBgn0000358	26	569	499	21	2	78	1881	13	1313	739	311	109
FBgn0000359	5220	905	4850	531	8	134	1881	97	2597	817	207	2639
FBgn0000360	5881	1012	4637	533	13	249	1895	105	4138	1617	306	4254
FBgn0000370	8880.6299	8133.381255	9132.008718	22891.392	8047.79457	11662.2166	11214.75443	12947.7846	11051.3409	21904.538	10590.0648	14200.202
FBgn0000376	140	105.0000039	361	472.9996	103.0000021	126	576	296	411	369	251.9997	204.0000019
FBgn0000377	298	286	437	830	364	366	656	496	480	802	489	603
FBgn0000382	672.9999	458.0004	754.99947	1418.9997	319	742.99922	896.00049	1485.00072	938.9998	1095.00016	469.0002022	1011.0002
FBgn0000384	332	233	377	776	139.9998	379	564	567	554	623	335	469
FBgn0000392	222.332	126.20393	628.1017	716.5328	111.488	113.463	1194.084	339.50793	671.1436	535.2008	474.1389	291.5018
FBgn0000394	448.9993	396.9994	481.0003	1030	427.9999	545.9995	545.0003	629.9996	545.0001	1028.001	589.0002	683.0005
FBgn0000395	177	120	132	367	119	153	210	329	183	283	101	278
FBgn0000404	904	508	2894.996	3442.003	482.0001	310	5185.997	1361.999	2937.997	2651.004	2544.004	910
FBgn0000405	1580.003	684	4480.0019	4999.9971	756.9996	457.9996	7532.0029	1908.9994	4780.9988	3364.997	3220.0009	1370.00323
FBgn0000406	22204.03	26387.03	27359.96	82839	34006.99	41612	38000.01	40951	38080	89087	44625	47183
FBgn0000411	4	8	2	8	6.000001	1	3	8	8	5	3	2
FBgn0000412	505.9999	427.9997	949	1249.997	396.9996	452.0002	1097.0002	803	1025	1034	693	779
FBgn0000414	302	293	435.0000024	926	224.9999	430	540	835.0006	501	685.0000014	275.0000003	570.0000978
FBgn0000416	21170.02	23506.018	23934.987	61814	21085.979	35142.98	28068.98	35106.04	30818.01	53246	24467.04	36324
FBgn0000422	426.0002	366.9999	402.9998	998.9997588	403.99982	405.00047	479	650.0001	418.9996	802	385.0001	600.9996
FBgn0000426	117	99	190	253	86	76	326	142	191	289	204	182
FBgn0000427	5007.003602	171.0001	8656.00687	823.0003706	301.9995	30.00000127	9182.999642	472.0001992	5579.9956	1386.00002	1292.00044	178.00002
FBgn0000439	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000442	48	45	17	91.1045	9	59	13	93	6	53.1668	6.08121	105
FBgn0000447	441.9997	380.9997	658.0001	1148.004	405.0004	467.0004	906	631.9997	711	1217.996	766.0004	823
FBgn0000448	9	5.74939	10.79151	5	1	1	19.68043	15.03632	5.33334	20.6666	17.33334	8.54959
FBgn0000449	1.30196	3.6175	9.18217	14.1387	4.30847	9.19865	25.9977	8.95637	14.0638	10.7052	10.196	6.94289
FBgn0000451	16	13	15	27	9.000004726	19.00002	12.999997	23	21	32.00001	13.00003	32.00000574
FBgn0000454	1457	1160.000333	2270.001	4305	1328.0003	1343	3773.0015	2772.005	2786.001	3511.000003	2195.999	2209.999
FBgn0000455	598.9999	679.9999	780	1723.003	832.9999	731.9999	995	958.0001	916	1528.002	811.9996	1029
FBgn0000459	7	9	4	12	2	10	5	21	7	15.99998426	7	4
FBgn0000463	24.00001	7	82	91.99995	8	13	94	67.00002	62.00004	30	22	27.99997
FBgn0000464	121	58	164.0000402	243.9998	33.00003911	101	245.0007019	310.53685	178	160.9998	75	180.9999
FBgn0000473	683	680	681	1883	809	818	1404	1898	976	2068	973	2031
FBgn0000477	709	815	865	2381	1111	1520	1041	1288	1126	2392	1300	1435
FBgn0000479	73.001162	67.00009	122.9999788	242.00269	49.00002813	80.9999798	110.0927511	339.9995147	102.000016	165.9999862	99.99995	158.0000192
FBgn0000482	173	198	288	555	247	228	435	382	370	539	329	341
FBgn0000489	124.0002	51	104	177.0002	51	95.99998	133	253.0004	103	173.9999	54.00002	121
FBgn0000490	103	72.00003506	74.9999	171	47.99992984	84	110	231.9991	102	150.9999612	72.0001087	149
FBgn0000492	57	64	52	137	50	105	76	152	88	103	46	120
FBgn0000499	158.01	127	253.084	414.021	128	143	348.089	258.055	282.079	328.121	199.15	248
FBgn0000500	2	2	0	1	1	1	0	1	2	1	0	1
FBgn0000504	471.99984	321.0005	343.0005	716.9996	170.00009	479.9998	344.9997	738.0001	405.99982	623.0003	222.00006	642.0003
FBgn0000520	86	66	111	201	84	65	186	158	136	205	133	143
FBgn0000524	123	102	203	323	72	132	307	218	256	238	139	186
FBgn0000527	28	30	24	38	20	21	18	20	35	45	30	20
FBgn0000529	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0000533	146.0002	153.99963	247.9996	371.0002	181.0004	115.0004	269.9998	241.0004	245	336.9996	259	199.99958
FBgn0000535	0	1.000000321	0	2.999992744	0	0	2.00000099	5	0	0	0	1
FBgn0000536	2763.9966	2251.998091	2783.997135	7621.995862	2125.00133	4401.003398	3660.00298	4214.994539	3094.9992	6874.998056	2173.996801	5011.004301
FBgn0000541	420.9993942	207.0000976	632.9998488	1054.00043	125.0000013	365.0004021	1040.998878	1245.999422	682.9996595	679.000069	330.9998947	742.9995017
FBgn0000542	26.12225	17.0988	56.10012044	66.1417	19.00002888	25.01413	62.0885	48.0702	51.0582	33.0115	16.0103	40.036
FBgn0000543	215	208	299	569	268	217	504	401	346	582	385	442
FBgn0000546	119	68.99999	138.99995	221.99988	38.00004	94.9999	182.0000157	355.99965	142.00001	160.0000672	72.99999	189.00005
FBgn0000547	163	77	240.0003	410	37	110	360	732	236	242	116	312.0001
FBgn0000551	0	0	0	1	0	1	0	0	0	0	0	0
FBgn0000552	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000557	108.0029311	52.00170368	96.00145886	220.0048	74.0025495	88.00042435	77.0008985	118.001703	84.0040014	171.0038922	93.00254054	121.0018
FBgn0000559	62235.02	63919.99	86650	198910.7	72228	88898	124980.9	108598	95845	206042.3	108808.9	120502
FBgn0000560	4	1	0	0	0	1	1	2	1	0	0	1
FBgn0000562	526	408.0002	686.000095	1331.00311	341	599	954	1064.000001	786.9997	1061.9996	540.0001	795.9998
FBgn0000564	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000565	2587.0007	3242.0024	3486.99823	7232.008	3881.9982	3555.00795	5222.996	4866.0091	3961.996	9286.0053	3875.007	9717.0037
FBgn0000566	947.9998	798	1159	1905	852	772	1858.002	1162	1066	2100.998	1112	1841.999
FBgn0000567	92.00004	60.99998	131.9999	210.99952	61.99997	94.99986	141.9999	249.0004	118.00002	189.99997	52	177.99989
FBgn0000568	211.99982	145.00012	276.0002	502.999	97.99998	261.99953	286.99962	793.99996	287.00022	381.99999	168.9999	435.0001
FBgn0000575	396	199	387	841	109	429	421	675	452	573	266	512
FBgn0000576	4	5	2	2	1	3	2	5	2	4	2	6
FBgn0000577	3	0	3	0	0	0	3	1	3	1	1	1
FBgn0000578	133.00035	53.00001	176.00006	257.00019	49.99995	89.00006	194.9998	242.99981	172.99988	162.00019	87	134.0001
FBgn0000579	10733.3237	11226.0803	15293.021	25605.6545	15183.263	10724.1708	15053.18797	18017.387	17118.8428	21809.1093	13352.0172	16291.3925
FBgn0000581	436.999777	208.9999304	701.000004	958.0005209	169.9998504	361.0000426	1081.9999	1056.9998	731.0002	710.999903	357.0005029	706.0001021
FBgn0000588	50	34	119	151	31	28	171	45	122	101	88	57
FBgn0000591	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000592	3517	4476	4012	11468	4110.002	6097	4768	4410	3928	11065	4356	5364
FBgn0000594	5.71188	5.47683	0	18.6935	15.2107	15.1962	0	0	0	18.8902	5.87683	0
FBgn0000606	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000611	714.0000006	552.0000011	767	1513.997022	338.00013	770.0000011	959.0000007	1189.0003	955.99954	1285.9994	671.0004	923.0001001
FBgn0000615	409.0107155	260.737809	1499.62329	1194.311456	372.3259	231.145043	3182.09762	629.4746988	1570.216436	1830.5444	1703.780664	658.0801097
FBgn0000617	100	94	156	251	118	91	195	159	193	195	134	179
FBgn0000618	54	72	83	176	76	69	103	97	99	173	102	105
FBgn0000625	4	3	2	1	1	0	0	2	0	1	1	3
FBgn0000629	199.0001719	182.0002846	318.9996	612.9991	174.9996709	250.9998	523.0003	397.000116	384	577.9996149	328.00031	363.000233
FBgn0000633	2	1	4	2.00033	1.00058	5.000000034	1	3.000000011	1	1	0	2
FBgn0000635	200	165	231.0002	491.999	84	241	329.9994914	682.00042	211.999996	342.99961	130.99989	410.00022
FBgn0000636	153.0000077	109.0000224	236.00048	328.99961	88.00002	132.00003	325.99971	411.000018	207	198.99993	85.000047	169
FBgn0000639	11.99996	12.99996	10	22.99998	10	9	1	2.999999	1	11	4.999999	1.999997
FBgn0000640	10	1	1	1	0	1	3	2	1	1	1	1
FBgn0000644	12	21	76	41	5	5	732	8	23	19	12	7
FBgn0000658	8	5	15	12	4	7	8	21	6	12	7	17
FBgn0000659	22	15.99999	4	34.99999	0	17.00001	2.000001	102.0001	6	15.99999	5.00001	54.99998
FBgn0000662	350.9995	250.9997	416.0001	751.9998	199.9995	371.9999	579.0004	674.0003	497.9996	623.0004	312.00028	511.9997954
FBgn0000667	886.2250295	589.4727069	1084.125624	1460.132436	455.7722582	681.305414	1143.938981	1649.238694	1041.645445	1102.88118	514.0707018	1005.328196
FBgn0000709	386	346	674	1122	391	406	932	784	710	975	583	678
FBgn0000711	211.9996	113	232.9999	431.999	72	201.9998	320.001	442.999	280.0004	322	145	329.00121
FBgn0000715	0	0	0	0	0	0	0	0	0	17	17	0
FBgn0000719	173.9999341	97.99997	194.999909	341.0007032	69.00007	198.000299	275.0002869	305.0001188	199.999579	273.9998031	125.9999	296.0003
FBgn0000721	3862.000512	3489.994683	4944.003368	10431.0039	3455.992863	5703.0047	5664.995435	7339.997152	5621.003777	10570.00541	4734.99745	8051.001284
FBgn0000723	311.9997821	249.0000107	286.9997856	572.0005505	144.9996011	382.0002109	236.99985	491.0004	277.9998727	498.0000503	221	328.9996
FBgn0000808	7.999997207	6.99999596	19.00000753	28	4.999996307	4.999997672	49	14	19.00003	25	23	10.99999074
FBgn0000810	74	45	221	287	38	93	294	271	229	235	153	201
FBgn0000826	25	15	94	90	24	6	200	24	114	99	93	16
FBgn0000927	115	51	392	327	87	25	730	183	408	373	360	112
FBgn0000928	5	9	28	27	7	7	45	22	15	23	23	5
FBgn0000964	206	127	332	359	82	198	468	449	358	297	161	406
FBgn0000996	177.0188	97.3889	295.3376	598.621	96	86.0563	684.9918	138.4627	355.6726	315.9053	253.3524	156.3964
FBgn0001075	11	9	11	23	3	5	10	29	16	10	2	27
FBgn0001077	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0001078	134.33	54	309.9995	331.9996	37.999983	105	466.2344	523.0001	325.0004	220	154.0004	187.9995
FBgn0001079	123	106.885	171	335.12	99.7179	134.762	267	252.884	202	235.579	125.743	206.62
FBgn0001083	16.00004	24	30	36.000075	19	18.99999	17.00003	40	16.00004	24.999982	14.000031	26
FBgn0001084	34	19	44	81	29	19	58	47	54	60	38	42
FBgn0001085	32	15	93	98	14	10	167	53	105	53	45	30
FBgn0001086	65	16	136	301	27	13	355	51	160	152	138	59
FBgn0001087	169.00037	94.99995	227.0004	379.0001	81	159	447	530.999	301.0003	270.9995	133	335
FBgn0001089	276	180	238.0000001	468.0000009	166.0000024	223	160	215	238	442	174	208.0001367
FBgn0001090	141.9998	104	130.99995	307.9998	104	137.0000011	136.0002	318.9999	198.9996	200.9998	75.99997	256.0002
FBgn0001091	8642.81	8717.81	12580.42	18469.76	11061.18	7355	10492	12291.42	10733.96	15736.36	9543	11623
FBgn0001092	13424.19	13374.17	17170.53	34505.2	16872.8	16050.01	19385.03	19795.6	18586.99	32504.6	18362.99	20861.98
FBgn0001098	1551	1342	1955.999	3131.995	1263.9993	1295.001	2436.005	2510.9944	1782.9992	2306	1333.999	2506.996
FBgn0001099	40.21361	53	62	112.25916	37	58.18812004	92.00588	68.53162	67	129	78	59
FBgn0001104	547	366	671	1393	446	633	959	885	862	1164	571	818
FBgn0001105	710.00077	497.0002	881.0009	1526.0001	254.9998	696.00003	1041.00042	1722.00276	959	1209.000322	678.999876	1112.0005
FBgn0001108	643	575	878	1588	543	658	1358	1178	880	1276	715	978
FBgn0001112	14	6	14	5	2	4	5	15	4	9	5	7
FBgn0001114	12551.97	12540.985	15625.012	32994	13858.043	19564.99	15593.03	20071.997	15291.98	29690.96	11717.001	23405.98
FBgn0001120	202	94	506	720	136	71	1022	243	499	555	537	180
FBgn0001122	135	74.00003119	218.9996	337.99998	75.99996555	150	247.0001947	555.9994115	187.0001	260.00025	106.9999629	311.9996355
FBgn0001123	389.00026	321.9997	368.9999	810.0005	206.9996	496.9996	385.9996	636.9998	473.00061	695.0005	301.9998	552.9994
FBgn0001124	4759	5198.000007	6135	13419.00002	6515.000203	6302.000003	5259.000001	6949	7268.000003	11577	6468.000001	6523
FBgn0001125	8628.998	8475.0002	11893.9868	21437.031	11832.0145	9055.0015	11624.956	12779.018	12866.005	20745.012	12159.048	12941.991
FBgn0001128	13996	13303.998	16203.997	34748.991	15306.9989	20210.009	17519.0082	23855.012	19006.004	36763.018	17937.9972	26151.025
FBgn0001133	240	250	294	725	290	297	456	424	420	790	477	489
FBgn0001134	43.2769	23.4871	44.1851	114.646	31.2672	62.7608	46.8574	102.113	68.022	117.266	48.3619	85.2857
FBgn0001137	238.766	173.242	257.375	473.472	137	231.257	305.466	277.631	271.6	418.889	255.009	201
FBgn0001138	0	1	0	3	0	0	1	2	2	0	0	1
FBgn0001139	256.0000088	171.999956	404.9994419	631.999742	173.999988	183.0003602	608.0003029	717.0007971	470.0003913	422.9995132	227.0001005	494.0000037
FBgn0001142	1591.999	1600.0039	1905.996	3707.003	1352.9997	2023.004	1986.9997	2190.997	1799.995	2940.002	1438.9951	1857
FBgn0001145	4360.998664	3356.999	3705.0007	6740.9932	2932.9973	3831.005	4515.000972	4973.001	3186	5319.00072	1971.001255	7131.004091
FBgn0001147	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001148	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001149	3280.928	2310.998	3528.003	6247.999	2643.998	2586.997	4723.985	3927.001	4022	5837.004	3386.999	3980
FBgn0001150	5	0	2	4	0	3	2	1	4.06441	1	1	4
FBgn0001168	391	317.9998	476	1017	234.9997	607	522	957	584	830	384	936
FBgn0001169	99.000005	45.99998957	126	182.9997	16.99995	79.00000834	171.9995	271.000326	128	125	67.00000398	160
FBgn0001170	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0001174	0	0	0	1	1	0	0	1	0	0	0	0
FBgn0001179	118.2121	139.5372	198.2788	370.727	138.0030158	154.0001628	330.781	195.0000001	263.3357	344.4985	226.1514	229.5767
FBgn0001180	53	15	133.9997	132	18	28	219.0003	90	134.0002	74	55	66.00003
FBgn0001185	134.7737	101.03326	156	356.3951	97	146.365	213.0478	207.3023	187.158	247.0617	136.7327	192.0004
FBgn0001186	1325	852	1358	2826.004	644	1359.999	1591.999	2231	1608.001	1963	780.999	1663
FBgn0001187	3700	4107	4748	13096	6119	6074	6214	7352	6964	14482	8347	9082
FBgn0001189	632.992	588.3787	686.9395	1755.739	735.3384	862.817	938.933	956.836	825.1846	1552.065	796.7351	1111.35
